element_id,object_name,type,type_name,attribute_type,modifiers,number_of_statements,creator,created,changed_by,changed,local_class,container_id,iteration
1,/GISA/CL_CCLMT_CR_TEST_CLASS01,CLAS,Class,,,,GPRA437,20200915,GPRA587,20220110,false,2,0
3,/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD,METH,Method,,,3,GPRA437,20200915,GPRA587,20220110,,1,0
4,LOOP_METHOD01,METH,Method,,PUBLIC,3,GPRA437,20200915,GPRA587,20220110,,1,0
6,LOOP_METHOD02,METH,Method,,PUBLIC,3,GPRA437,20200915,GPRA587,20220110,,1,0
8,NOT_QUITE_SO_LONG_TEST_METHOD,METH,Method,,PUBLIC,1,GPRA437,20200915,GPRA587,20220110,,1,0
11,REALLY_REALLY_LONG_TEST_METHOD,METH,Method,,PUBLIC,1,GPRA437,20200915,GPRA587,20220110,,1,0
13,RECURSIVE_METHOD01,METH,Method,,PUBLIC,3,GPRA437,20200915,GPRA587,20220110,,1,0
15,TEST_METHOD01,METH,Method,,PUBLIC,2,GPRA437,20200915,GPRA587,20220110,,1,0
16,TEST_METHOD02,METH,Method,,PUBLIC,3,GPRA437,20200915,GPRA587,20220110,,1,0
18,TEST_METHOD03,METH,Method,,PUBLIC,2,GPRA437,20200915,GPRA587,20220110,,1,0
19,TEST_METHOD04,METH,Method,,PUBLIC,1,GPRA437,20200915,GPRA587,20220110,,1,0
21,TEST_METHOD05,METH,Method,,PUBLIC,2,GPRA437,20200915,GPRA587,20220110,,1,0
23,TEST_METHOD06,METH,Method,,PUBLIC,1,GPRA437,20200915,GPRA587,20220110,,1,0
25,TEST_METHOD07,METH,Method,,PUBLIC,2,GPRA437,20200915,GPRA587,20220110,,1,0
26,TEST_METHOD08,METH,Method,,PUBLIC,2,GPRA437,20200915,GPRA587,20220110,,1,0
10,TEST_METHOD09,METH,Method,,PUBLIC,1,GPRA437,20200915,GPRA587,20220110,,1,0
28,TEST_METHOD_WITH_PARAMETERS,METH,Method,,PUBLIC,2,GPRA437,20200915,GPRA587,20220110,,1,0
29,TEST_METHOD_WITH_PARAMETERS2,METH,Method,,PUBLIC,20,GPRA437,20200915,GPRA587,20220110,,1,0
32,/GISA/CL_CCLMT_CR_TEST_CLASS02,CLAS,Class,,,,GPRA437,20200916,GPRA437,20200916,false,2,0
33,LO_TESTCLASS01,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA437,20200916,GPRA437,20200916,,32,0
34,/GISA/CL_CCLMT_CR_TEST_CLASS03,CLAS,Class,,,,GPRA437,20201117,GPRA437,20201202,false,2,0
35,/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD,METH,Method,,,3,GPRA437,20201117,GPRA437,20201202,,34,0
36,DYNAMIC_TEST_METHOD01,METH,Method,,PUBLIC,1,GPRA437,20201117,GPRA437,20201202,,34,0
37,DYNAMIC_TEST_METHOD02,METH,Method,,PUBLIC,3,GPRA437,20201117,GPRA437,20201202,,34,0
38,DYNAMIC_TEST_METHOD03,METH,Method,,PUBLIC,4,GPRA437,20201117,GPRA437,20201202,,34,0
39,DYNAMIC_TEST_METHOD04,METH,Method,,PUBLIC,4,GPRA437,20201117,GPRA437,20201202,,34,0
40,DYNAMIC_TEST_METHOD05,METH,Method,,PUBLIC,6,GPRA437,20201117,GPRA437,20201202,,34,0
41,DYNAMIC_TEST_METHOD06,METH,Method,,PUBLIC,5,GPRA437,20201117,GPRA437,20201202,,34,0
42,DYNAMIC_TEST_METHOD07,METH,Method,,PUBLIC,4,GPRA437,20201117,GPRA437,20201202,,34,0
43,DYNAMIC_TEST_METHOD08,METH,Method,,PUBLIC,2,GPRA437,20201117,GPRA437,20201202,,34,0
31,/GISA/IF_CCLMT_CR_TEST_IF01,INTF,Interface,,,,GPRA437,20201126,GPRA437,20201126,false,2,0
45,TEST_INTERFACE_METHOD,METH,Method,,PUBLIC,0,GPRA437,20201126,GPRA437,20201126,,31,0
46,/GISA/CL_CCLMV_TEST_CLASS1,CLAS,Class,,,,GPRA440,20191001,GPRA440,20200316,false,47,0
48,CALL_FORM,METH,Method,,PUBLIC,6,GPRA440,20191001,GPRA440,20200316,,46,0
49,CALL_FUBA,METH,Method,,PUBLIC,1,GPRA440,20191001,GPRA440,20200316,,46,0
50,CALL_INSTANCE_METH,METH,Method,,PUBLIC,8,GPRA440,20191001,GPRA440,20200316,,46,0
53,CALL_REPORT,METH,Method,,PUBLIC,1,GPRA440,20191001,GPRA440,20200316,,46,0
52,CALL_STATIC_METH,METH,Method,,PUBLIC,6,GPRA440,20191001,GPRA440,20200316,,46,0
54,TEST_M_DTEL,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA440,20191001,GPRA440,20200316,,46,0
55,/GISA/CL_CCLMV_TEST_CLASS2,CLAS,Class,,,,G435367,20230816,G435367,20230816,false,47,0
56,/GISA/IF_CCLMV_TEST_INTF2~TEST_METH2,METH,Method,,,1,G435367,20230816,G435367,20230816,,55,0
61,/GISA/CL_CCLMV_TEST_CLASS3,CLAS,Class,,,,G435367,20230817,G435367,,false,47,0
62,LCL_MY_LOCAL_CLASS,CLAS,Class,,,,G435367,20230817,G435367,,true,61,0
63,LIF_MY_LOCAL_INTERFACE~MY_TEST_METHOD_TO_IMPLEMENT,METH,Method,,,0,,,,,,62,0
65,LIF_MY_LOCAL_INTERFACE,INTF,Interface,,,,G435367,20230817,G435367,,true,61,0
66,MY_INTEGER_CONSTANT,ATTR,Attribute,CONSTANT,PUBLIC,,G435367,20230817,G435367,,,65,0
67,MY_STRING_CONSTANT,ATTR,Attribute,CONSTANT,PUBLIC,,G435367,20230817,G435367,,,65,0
58,/GISA/IF_CCLMV_TEST_INTF1,INTF,Interface,,,,GPRA440,20200320,GPRA440,20200320,false,47,0
68,TEST_METH1,METH,Method,,PUBLIC,0,GPRA440,20200320,GPRA440,20200320,,58,0
69,C_TEST1,ATTR,Attribute,CONSTANT,PUBLIC,,GPRA440,20200320,GPRA440,20200320,,58,0
70,MV_TEST1,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA440,20200320,GPRA440,20200320,,58,0
60,/GISA/IF_CCLMV_TEST_INTF2,INTF,Interface,,,,GPRA440,20200320,GPRA440,20200320,false,47,0
71,TEST_METH2,METH,Method,,PUBLIC,0,GPRA440,20200320,GPRA440,20200320,,60,0
72,C_TEST2,ATTR,Attribute,CONSTANT,PUBLIC,,GPRA440,20200320,GPRA440,20200320,,60,0
73,MV_TEST2,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA440,20200320,GPRA440,20200320,,60,0
75,/GISA/CCLMT_CLASS1_DEBUGGER,CLAS,Class,,,,GPRA629,20220727,GPRA629,20220727,false,76,0
77,METHODE1,METH,Method,,PUBLIC,1,GPRA629,20220727,GPRA629,20220727,,75,0
79,METHODE2,METH,Method,,PUBLIC,3,GPRA629,20220727,GPRA629,20220727,,75,0
82,/GISA/CCLMT_CLASS2_DEBUGGER,CLAS,Class,,,,GPRA629,20220905,GPRA629,20220905,false,76,0
83,DOUBLE_VARIABLE1,METH,Method,,PRIVATE,1,GPRA629,20220905,GPRA629,20220905,,82,0
84,GET_OTHER,METH,Method,,PUBLIC,2,GPRA629,20220905,GPRA629,20220905,,82,0
85,GET_VARIABLE1,METH,Method,,PUBLIC,1,GPRA629,20220905,GPRA629,20220905,,82,0
86,SET_VARIABLE1,METH,Method,,PUBLIC,1,GPRA629,20220905,GPRA629,20220905,,82,0
87,VARIABLE_1,ATTR,Attribute,VARIABLE,PRIVATE,,GPRA629,20220905,GPRA629,20220905,,82,0
88,VARIABLE_2,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA629,20220905,GPRA629,20220905,,82,0
89,/GISA/CCLMT_KLASSE_A,CLAS,Class,,,,GPRA629,20221017,GPRA629,20221017,false,76,0
90,METHODE1,METH,Method,,PUBLIC,4,GPRA629,20221017,GPRA629,20221017,,89,0
93,METHODE2,METH,Method,,PUBLIC,0,GPRA629,20221017,GPRA629,20221017,,89,0
94,METHODE3,METH,Method,,PUBLIC,0,GPRA629,20221017,GPRA629,20221017,,89,0
95,ATTRIBUT1,ATTR,Attribute,VARIABLE,PRIVATE,,GPRA629,20221017,GPRA629,20221017,,89,0
