element_id;object_name;type;type_name;attribute_type;modifiers;number_of_statements;creator;created;changed_by;changed;local_class;container_id;iteration;amount_of_results;amount_of_namspa;amount_of_chnhis;amount_of_codlen;amount_of_commam;amount_of_dynsta;amount_of_enhmod;amount_of_formty;amount_of_nomac;amount_of_objnam;amount_of_praefi;amount_of_slin;amount_of_sql;amount_of_todo
2;/GISA/CCLMT_CROSSREF_TEST;DEVC;Namespace;;;;GPRA437;20200915;GPRA437;20200915;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;/GISA/CCLMT_CR_TEST_REPORT_01;REPS;Report;;;8;GPRA437;20200915;GPRA437;20210407;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;LO_TEST;ATTR;Attribute;VARIABLE;;;GPRA437;20200915;GPRA437;20210407;;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;LV_FUBA_NAME;ATTR;Attribute;VARIABLE;;;GPRA437;20200915;GPRA437;20210407;;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;/GISA/CCLMT_CR_TEST_REPORT_02;REPS;Report;;;3;GPRA437;20200915;GPRA437;20200915;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;LO_TEST;ATTR;Attribute;VARIABLE;;;GPRA437;20200915;GPRA437;20200915;;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;/GISA/CCLMT_CR_TEST_REPORT_03;REPS;Report;;;2;GPRA437;20200916;GPRA437;20200916;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;LO_TEST;ATTR;Attribute;VARIABLE;;;GPRA437;20200916;GPRA437;20200916;;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;/GISA/CCLMT_CR_TEST_REPORT_04;REPS;Report;;;3;GPRA437;20201009;GPRA437;20201009;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;LO_TEST;ATTR;Attribute;VARIABLE;;;GPRA437;20201009;GPRA437;20201009;;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
