MAIN_OBJ_NAME;MAIN_OBJ_TYPE;SUB_OBJ_NAME;SUB_OBJ_TYPE;SUB_SUB_OBJ_NAME;SUB_SUB_OBJ_TYPE;PACKAGE
/GISA/CCLMS_SSERVICE;DEVC;;;;;
/GISA/CCLMS_RELEASE;DEVC;;;;;
/GISA/CL_CCLMS_SS_RESULTS_MGMT;CLAS;;;;;/GISA/CCLMS_SSERVICE
/GISA/CL_CCLMS_SS_RESULTS_MGMT;CLAS;CHECK_EXISTING_IDENTIFIER;METH;;;/GISA/CCLMS_SSERVICE
/GISA/CL_CCLMS_RELEASE_MGMT;CLAS;;;;;/GISA/CCLMS_RELEASE
/GISA/CL_CCLMS_RELEASE_MGMT;CLAS;COLLECT_OBJECTS_FROM_REQUEST;METH;;;/GISA/CCLMS_RELEASE
/GISA/CL_CCLMS_RELEASE_MGMT;CLAS;IS_SCAN_LIST_EMPTY;METH;;;/GISA/CCLMS_RELEASE
/GISA/CCLMS_RELEASE_POPUP;FUGR;;;;;/GISA/CCLMS_RELEASE
/GISA/CCLMS_RELEASE_POPUP;FUGR;/GISA/CCLMS_SHOW_RELEASE_POPUP;FUNC;;;/GISA/CCLMS_RELEASE
/GISA/CCLMS_RELEASE_POPUP;FUGR;LCL_RELEASE_POPUP;CLAS;;;/GISA/CCLMS_RELEASE
/GISA/CCLMS_RELEASE_POPUP;FUGR;LCL_RELEASE_POPUP;CLAS;ON_DOUBLE_CLICK;METH;/GISA/CCLMS_RELEASE
